name,mappable,coordinates
Big Lake Okeechobee,TRUE,"26.94605, -80.78329"
Courthouse,FALSE,"26.72625150922696, -80.03341822858842"
Eatonville,TRUE,"28.618579170446417, -81.38643808791495"
Everglades,TRUE,"26.880865479163457, -80.44804338021213"
Fort Lauderdale,TRUE,"26.12416, -80.14305"
Fort Myers,TRUE,"26.64227, -81.86910"
Green Cove Springs ,TRUE,"29.992904183688125, -81.67746076856982"
Jacksonville,TRUE,"30.3298, -81.6592"
Janie and Tea Cake's House,FALSE,"26.834751662280585, -80.44334557182601"
Lake City ,TRUE,"30.189575765834622, -82.63817807919271"
Lake Sabelia,TRUE,"28.62689023044156, -81.37226991636523"
Logan Killicks Farm,FALSE,"30.226356942379976, -82.75366921867388"
Maitland,TRUE,"28.627213436693335, -81.35370630800469"
Mrs. Washburn's kitchen,FALSE,"30.20309602685076, -82.76311406870325"
Nanny's Parlor,FALSE,"30.198198291315123, -82.75980837119296"
Okeechobee,TRUE,"27.24094388979997, -80.83412875570062"
Orlando,TRUE,"28.54026337989474, -81.39224619001222"
Palm Beach ,TRUE,"26.72641853933976, -80.00582721665843"
Sanford,TRUE,"28.80275110455224, -81.27080569029712"
Savannah,TRUE,"32.07705752286592, -81.07559215727095"
six mile bridge ,FALSE,"26.646187531112794, -80.57980500627374"
Tall House on mound,FALSE,"26.666323407626564, -80.60568295727589"
Unknown Place where Killicks buys mule,FALSE,"30.229621192142325, -82.73525176111659"
Unknown Place where Tea Cake buys car,FALSE,"28.559097751714123, -81.41983351361162"
West Florida,TRUE,"30.1964196653029, -82.75701828222084"
Wreckage clearing site ,TRUE,"26.43352, -80.03213"